"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",15.251944,0.92683,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"2",-11.601925,7.2126,0.647908,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"3",-1.169395,-5.902556,5.307693,0.526364,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"4",-0.678948,-0.364801,-4.116741,4.397163,0.454572,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"5",-0.394076,-0.429782,-0.277457,-3.332141,3.836836,0.405858,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"6",-0.253755,-0.269299,-0.324996,-0.224644,-2.869807,3.447613,0.37004,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"7",-0.176556,-0.184085,-0.210052,-0.267629,-0.191252,-2.557173,3.157023,0.342282,NA,NA,0,0,0,0,0,0,0,0,0,0
"8",-0.129814,-0.133868,-0.147364,-0.175388,-0.231096,-0.168301,-2.328017,2.929387,0.319955,NA,0,0,0,0,0,0,0,0,0,0
"9",-0.099424,-0.101793,-0.10949,-0.124654,-0.152493,-0.205566,-0.151499,-2.150895,2.744824,0.301492,0,0,0,0,0,0,0,0,0,0
"10",-0.078572,-0.080047,-0.084759,-0.09371,-0.109157,-0.136142,-0.186578,-0.13861,-2.008747,2.591264,0.285895,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",-0.06365,-0.064615,-0.067663,-0.073305,-0.082629,-0.097858,-0.123812,-0.171813,-0.128366,-1.891424,2.460896,0.272491,NA,NA,NA,NA,NA,NA,NA,NA
"12",-0.052606,-0.053265,-0.055325,-0.059066,-0.06506,-0.074395,-0.089219,-0.114137,-0.159944,-0.119998,-1.792466,2.348415,0.26081,NA,NA,NA,NA,NA,NA,NA
"13",-0.044206,-0.04467,-0.046112,-0.048696,-0.05274,-0.058826,-0.068015,-0.082374,-0.10631,-0.150153,-0.11301,-1.707542,2.25007,0.250513,NA,NA,NA,NA,NA,NA
"14",-0.037667,-0.038004,-0.039045,-0.040888,-0.043724,-0.047883,-0.053936,-0.062912,-0.076798,-0.099826,-0.141909,-0.10707,-1.633625,2.16313,0.241347,NA,NA,NA,NA,NA
"15",-0.032479,-0.032729,-0.033499,-0.034851,-0.036903,-0.039852,-0.044028,-0.049988,-0.058726,-0.072156,-0.094349,-0.134852,-0.101947,-1.56853,2.085548,0.233118,NA,NA,NA,NA
"16",-0.028293,-0.028483,-0.029065,-0.030079,-0.031603,-0.033759,-0.036747,-0.040889,-0.046727,-0.055222,-0.068221,-0.089651,-0.128726,-0.097472,-1.510633,2.015756,0.225677,NA,NA,NA
"17",-0.024867,-0.025014,-0.025462,-0.026238,-0.027394,-0.02901,-0.031212,-0.034197,-0.038278,-0.043982,-0.052239,-0.064835,-0.085566,-0.123347,-0.093522,-1.458699,1.952533,0.218905,NA,NA
"18",-0.022028,-0.022143,-0.022493,-0.023098,-0.023992,-0.025229,-0.026892,-0.029105,-0.032062,-0.036069,-0.041636,-0.049665,-0.061885,-0.081975,-0.118576,-0.090003,-1.411772,1.894909,0.212709,NA
"19",-0.018953,-0.019041,-0.019311,-0.019776,-0.020457,-0.021393,-0.022638,-0.024271,-0.026415,-0.029252,-0.033075,-0.038371,-0.045999,-0.057612,-0.076732,-0.111652,-0.083135,-1.363193,1.854467,0.345128
"20",-0.020355,-0.020439,-0.020694,-0.021132,-0.021772,-0.022643,-0.02379,-0.025276,-0.027192,-0.029675,-0.03293,-0.037283,-0.04327,-0.051835,-0.064781,-0.085922,-0.124215,-0.105395,-1.373121,1.366258
