value,g1,g2,g3,g4,g5,g6,g7,g8
0,1.0785351552935123,0.9833775687267172,1.0160507885079817,0.9644403266902668,0.9846174559344987,0.7941129358899851,1.0120078743408276,1.001600040532727
0.03333333333333333,1.0592849644649498,1.0032693637745238,1.0060912155336708,0.977278487488507,0.9692821000399925,0.8153465345330198,0.9912314418533257,1.0008039352753757
0.06666666666666667,1.0405938746078442,1.0213149385536764,0.9927809984820493,0.9857549076470467,0.9534269071077679,0.8368635667300728,0.9663043774449577,1.0033444527872395
0.1,1.0210013362089483,1.0396720230044751,0.9765678307185377,0.9922994003127321,0.9361463239499316,0.8577698101411171,0.93689471477619,1.0008191443957883
0.13333333333333333,1.0023910013954107,1.0438080887015337,0.9574708889948297,0.990160689924768,0.8872768446966552,0.8726298378623774,0.88121803132389,0.9983362643222157
0.16666666666666666,0.9842502165922866,1.0386637797736142,0.9242219172705831,0.9714741705869795,0.8312548550646581,0.8901906507713363,0.8331801525459048,0.9960629107829908
0.19999999999999998,0.9650070785798279,1.0286442292383813,0.8778392192105704,0.9510270537433998,0.7677345367772465,0.9176180179038169,0.7980538313825936,0.9636021319434845
0.2333333333333333,0.9487991073617232,1.0169493163358796,0.8317914597571376,0.9050080990659743,0.6864766557410801,0.9425235958739785,0.7274526781365142,0.9074804723530636
0.26666666666666666,0.9324203867855292,1.0138970282017954,0.7873273856849561,0.8253137414597597,0.6025686247612838,0.9647382942308614,0.6173580561187645,0.8418029295283672
0.3,0.9216728424737477,1.0110239689325033,0.7510904752236556,0.7502019394094953,0.5255556622967027,0.9870185598437502,0.5029445391623807,0.7801947413533518
0.3333333333333333,0.9146072673297614,1.0065270624175229,0.7231849431950469,0.6917857526545997,0.4483112020849654,0.9989046819516917,0.3894321306735762,0.7116477405434977
0.36666666666666664,0.8896242800684607,1.0086505800713796,0.7037504637930182,0.6592120430529725,0.370752085900535,0.9975148592223574,0.3051241087119048,0.6279301893429327
0.39999999999999997,0.8593745833708346,0.9983452318923691,0.6951157403564894,0.6339044195322253,0.3027448912653073,0.9917468677441134,0.24180034334831707,0.5262169974721319
0.4333333333333333,0.8393151339103762,0.9681852672284571,0.6940701670455661,0.606626489852588,0.25514689487893083,0.975427112747389,0.17047665444986024,0.4282747623592924
0.4666666666666666,0.8119381030832941,0.9385535739231349,0.686960293846702,0.5618513458217291,0.2180299330645837,0.9390914053037525,0.11060215211196618,0.3582259779726521
0.49999999999999994,0.7699128060555109,0.9098866848022057,0.6888699519518647,0.5233482108585491,0.1753977147921053,0.8956348269151235,0.07559704698906201,0.2990877127085123
0.5333333333333333,0.7320579221555618,0.880960280515467,0.687878590958269,0.4765426053417933,0.136242110914316,0.8425812025088988,0.0650535030836628,0.25304487492950106
0.5666666666666667,0.6949496843679643,0.856536689981233,0.6882105777648205,0.420446893434372,0.09596909270944913,0.7656885097768237,0.06748726078458636,0.20251617686129106
0.6,0.647295936772614,0.8319835278964604,0.6914178212977783,0.3753780279751022,0.05598700953885343,0.677332925787417,0.07673589079980676,0.12592272353896175
0.6333333333333333,0.598087933724224,0.8033137432724481,0.695423860911259,0.31588117183863396,0.028963116719296765,0.586203179597827,0.07424814270248847,0.08480040066871733
0.6666666666666666,0.5692621556932674,0.7742061483224627,0.7073317925233653,0.2579984697851188,0.020998120663816934,0.4831489661314171,0.059400544484971035,0.054338329416356065
0.7,0.5374976529737904,0.7432178263459966,0.7308572097903584,0.19977971696573318,0.014347600089019558,0.3784817069140727,0.026517483191114584,0.0345206900024265
0.7333333333333333,0.4822551244930024,0.7133022568810534,0.7569158224296242,0.12481975096573371,0.0077347664775710605,0.2949445336873507,-0.016535201387636457,0.04725459000234643
0.7666666666666666,0.42206237290752485,0.6785282169666075,0.7664198285731387,0.07614950795217958,-0.00209802060030468,0.2357197799989353,-0.04645089843910436,0.045482655351293325
0.7999999999999999,0.36850965847933215,0.6272343380321014,0.7610375403449013,0.034157118198623986,-0.017391322965422132,0.1920279253287979,-0.044551985467065375,0.035517329264343506
0.8333333333333333,0.3101117279600887,0.5577566803638528,0.7239274658248678,9.626319887049774e-4,-0.024803386608091036,0.15890765877897894,-0.018710790071086333,0.01667595140243378
0.8666666666666666,0.25897959321847625,0.46115780414366114,0.6545634380947862,-0.001449618204019523,-0.015757925985390185,0.12874518549878364,0.0069078425696270625,-0.010586870655374591
0.8999999999999999,0.2112999036671328,0.3388113911373477,0.5713808035463916,0.005057399047947946,-0.014208579302699934,0.10002619307802363,0.016653763596242765,-0.01453281880398241
0.9333333333333332,0.16586895309211186,0.21626508159071015,0.48036361959570206,0.007625424354016979,-0.013264319635391493,0.07098740517993397,0.03502179192525415,-0.01706322154349724
0.9666666666666666,0.12109941710240124,0.08999261091153257,0.38378383501123253,0.01350396731595113,-0.01104496463771145,0.04095039332344649,0.04994203940677017,-0.016019535663407896
